beta,gamma_freq,gamma_amp,gamma_mean,frequency
5.0000000000000004e-08, 57.142857142857146, 57.142857142857146, 28.571428571428573, 0.1675
5.0000000000000004e-08, 57.142857142857146, 85.71428571428572, 42.85714285714286, 0.1025
5.0000000000000004e-08, 57.142857142857146, 114.28571428571429, 57.142857142857146, 0.06
5.0000000000000004e-08, 57.142857142857146, 142.85714285714286, 71.42857142857143, 0.02
5.0000000000000004e-08, 57.142857142857146, 171.42857142857144, 85.71428571428572, 0.0125
5.0000000000000004e-08, 57.142857142857146, 200.0, 100.0, 0.005
5.0000000000000004e-08, 64.28571428571429, 0.0, 0.0, 0.26
5.0000000000000004e-08, 64.28571428571429, 28.571428571428573, 14.285714285714286, 0.2025
5.0000000000000004e-08, 64.28571428571429, 57.142857142857146, 28.571428571428573, 0.16
5.0000000000000004e-08, 64.28571428571429, 85.71428571428572, 42.85714285714286, 0.105
