beta,gamma_freq,gamma_amp,gamma_mean,frequency
5.0000000000000004e-08, 92.85714285714286, 171.42857142857144, -85.71428571428572, 0.5075
5.0000000000000004e-08, 92.85714285714286, 200.0, -100.0, 0.545
5.0000000000000004e-08, 100.0, 0.0, -0.0, 0.26
5.0000000000000004e-08, 100.0, 28.571428571428573, -14.285714285714286, 0.3075
5.0000000000000004e-08, 100.0, 57.142857142857146, -28.571428571428573, 0.3525
5.0000000000000004e-08, 100.0, 85.71428571428572, -42.85714285714286, 0.3875
5.0000000000000004e-08, 100.0, 114.28571428571429, -57.142857142857146, 0.4425
5.0000000000000004e-08, 100.0, 142.85714285714286, -71.42857142857143, 0.49
5.0000000000000004e-08, 100.0, 171.42857142857144, -85.71428571428572, 0.5225
5.0000000000000004e-08, 100.0, 200.0, -100.0, 0.535
