Day;BMI (uM);EF (V/m);Angle;Up_duration (s);Up_duration_norm;Down_duration (s);Down_duration_norm;Frequency (Hz);Frequency_norm;FR_up (a.u.);FR_up_norm
20210415;0;3;45;0.109504647812748;1.10757930059047;2.41442293477278;0.462205559649676;0.675011628940037;1.63368629962247;1.04144670912890;1.09305345866097
20210415;0;0;90;0.188160260062224;1;1.63964821052897;1;0.742687734032947;1;1.01895751315178;1
20210415;0;-3;90;0.201424552534370;1.07049465422592;1.86194472411079;1.13557573640147;0.636370300321813;0.856847731773072;0.913284979407547;0.896293483898683
20210415;0;3;90;0.207824792109228;1.10450948590580;1.10091558845264;0.671434019433639;0.886282387222907;1.19334458697764;1.02357796217592;1.00453448643786
20210415;0.800000000000000;0;0;0.257179639427774;1;4.48461367841932;1;0.322144361255486;1;1.90861028400808;1
20210415;0.800000000000000;-3;0;0.160173486615702;0.622807804583943;6.51963789683174;1.45377915788048;0.245356238711586;0.761634435429398;1.78568822286264;0.935596039602541
20210415;0.800000000000000;3;0;0.196172000281952;0.762782002177294;3.43619478323817;0.766218682285542;0.304194554416732;0.944280238931395;1.71927528482484;0.900799549929262
20210415;0.800000000000000;0;45;0.156426421588295;1;4.29703172670311;1;0.393542673713827;1;1.99073508920628;1
20210415;0.800000000000000;-3;45;0.143364218182050;0.916496182207479;5.34531185455410;1.24395447707231;0.219749509891085;0.558388008642947;1.87873422161575;0.943738939350697
20210415;0.800000000000000;3;45;0.171894239024374;1.09888238367294;3.75520337559705;0.873906364772927;0.292996604283694;0.744510376774928;1.89158975411189;0.950196620518745
20210415;0.800000000000000;0;90;0.114149523809575;1;5.26222761904975;1;0.189822363458146;1;1.87858489658655;1
20210415;0.800000000000000;-3;90;0.104496201680679;0.915432655286414;4.72660215126036;0.898213170055515;0.208338651686299;1.09754534655889;1.83562680479515;0.977132738653730
20210415;0.800000000000000;3;90;0.110795294117378;0.970615473632702;4.85233411763936;0.922106466864615;0.206805105527996;1.08946649783757;1.86011208733553;0.990166635915904
20210429;0;0;0;0.0850343445429618;1;3.34279604437768;1;0.460965832001287;1;2.56576036586439;1
20210429;0;-3;0;0.0812951999982306;0.956027831285957;6.51670739979791;1.94947801579414;0.375920552170152;0.815506326223985;2.55569000186408;0.996075095658079
20210429;0;3;0;0.0883489414214928;1.03897950759009;2.86844684448873;0.858098073112547;0.494105178821646;1.07189111322304;2.57207673044531;1.00246179053389
20210429;0;0;45;0.0932618791249836;1;4.28597561693041;1;0.490876454222001;1;2.29736957246170;1
20210429;0;-3;45;0.0847680129317089;0.908924565181753;5.30085131900205;1.23678989167897;0.214753271834908;0.437489453787867;2.32189086358950;1.01067363798221
20210429;0;3;45;0.0860717325226983;0.922903691521704;3.70108650455573;0.863534195093351;0.509809174103421;1.03856921577432;2.29855022304315;1.00051391408487
20210429;0;0;90;0.113377508350605;1;5.26742409275454;1;0.222474982056684;1;2.79080009997820;1
20210429;0;-3;90;0.111384187310802;0.982418725999526;4.39942442537923;0.835213635338521;0.262433463066620;1.17960887395309;2.67172812480688;0.957334108174838
20210429;0;3;90;0.105458974358861;0.930157805485926;4.62864256409897;0.878729808459086;0.224411363991151;1.00870381881399;2.77617332461905;0.994758931189925
20210422;0.800000000000000;0;0;0.296603091892083;1;5.54197005159738;1;0.347209977313827;1;1.93955275467334;1
20210422;0.800000000000000;-3;0;0.137445673077036;0.463399326690245;9.69294105769846;1.74900639437859;0.319998691174426;0.921628732129417;2.48695598090145;1.28223167681784
20210422;0.800000000000000;3;0;0.322139999997129;1.08609791604714;6.45781499991188;1.16525620668963;0.150756128780799;0.434192962849502;2.03560668159534;1.04952375061238
20210422;0.800000000000000;0;45;0.225523462184865;1;7.93558870588203;1;0.231729322295183;1;2.77526087779441;1
20210422;0.800000000000000;-3;45;0.0969230769232336;0.429769372925750;7.70073230770476;0.970404666007553;0.174821898857107;0.754422863388925;2.53563102918333;0.913655018694487
20210422;0.800000000000000;3;45;0.280420000000646;1.24341830018014;8.55493333334697;1.07804646264062;0.128191843117989;0.553196470124289;2.77642048525622;1.00041783728192
20210422;0.800000000000000;0;90;0.223912500000055;1;11.4284625000024;1;0.0914447049929005;1;2.68009852235710;1
20210422;0.800000000000000;-3;90;0.122889999999997;0.548830458326207;11.5166650000057;1.00771779231050;0.315894091421504;NaN;2.52059895037019;0.940487422139007
20210422;0.800000000000000;3;90;0.117058421054265;0.522786450306420;18.0468694739687;1.57911612992254;1.69699600380244;NaN;2.51267189794935;0.937529675490996
20210506;0;0;0;0.384586554513509;1;5.51089488948647;1;0.360530667756266;1;1.21286756306063;1
