tau,beta,gamma,frequency,up,down
1.6, 5e-08, -20.0, 0.23333333333333334, 0.8494634996586157, 3.4602576268506184 
0.7000000000000001, 1e-07, -380.0, 0.6555555555555556, 1.0726544533616287, 0.45546058668529504 
0.7000000000000001, 1e-07, -340.0, 0.8222222222222222, 0.7080287743794064, 0.5106589205466087 
0.7000000000000001, 1e-07, -300.0, 0.8277777777777777, 0.5414243042140993, 0.6701142132646054 
0.7000000000000001, 1e-07, -260.0, 0.8333333333333334, 0.4098540652459908, 0.7943558726797403 
0.7000000000000001, 1e-07, -220.0, 0.7777777777777778, 0.3837609026813518, 0.9011173844065369 
0.7000000000000001, 1e-07, -180.0, 0.6944444444444444, 0.356329038740154, 1.0831356624328354 
0.7000000000000001, 1e-07, -140.0, 0.6277777777777778, 0.32516446440082997, 1.2772730588885548 
0.7000000000000001, 1e-07, -100.0, 0.5222222222222223, 0.3119864254211319, 1.600728715781685 
0.7000000000000001, 1e-07, -60.0, 0.37222222222222223, 0.30163091364751715, 2.4028745901751023 
0.7000000000000001, 1e-07, -20.0, 0.2777777777777778, 0.26981665177158903, 3.3735339941393185 
0.8, 1e-07, -380.0, 0.6111111111111112, 1.1243238551522248, 0.5154723859826328 
0.8, 1e-07, -340.0, 0.7777777777777778, 0.6818284546998001, 0.6072024073118371 
0.8, 1e-07, -300.0, 0.8166666666666667, 0.5139487143352198, 0.7143812538129586 
0.8, 1e-07, -260.0, 0.7888888888888889, 0.44723542225883595, 0.8250475404343189 
0.8, 1e-07, -220.0, 0.7055555555555556, 0.4158132793226325, 1.0006558063444306 
0.8, 1e-07, -180.0, 0.6555555555555556, 0.3802953694357148, 1.1453425092135272 
0.8, 1e-07, -140.0, 0.5777777777777777, 0.35919305258851963, 1.3825836832908593 
0.8, 1e-07, -100.0, 0.46111111111111114, 0.35146809866290735, 1.8180803993009038 
0.8, 1e-07, -60.0, 0.37222222222222223, 0.31973533019889083, 2.3848440609011026 
0.8, 1e-07, -20.0, 0.25, 0.29355700003885676, 3.7639070486602253 
0.9, 1e-07, -380.0, 0.5777777777777777, 1.2173768978414021, 0.516475385774246 
0.9, 1e-07, -340.0, 0.7166666666666667, 0.7311234744056179, 0.6682905539303576 
0.9, 1e-07, -300.0, 0.75, 0.5830654994846858, 0.7547409138852971 
0.9, 1e-07, -260.0, 0.7277777777777777, 0.47656734020723046, 0.9028449527036807 
0.9, 1e-07, -220.0, 0.6722222222222223, 0.43406218057605117, 1.053286446219518 
0.9, 1e-07, -180.0, 0.6, 0.4044522404602116, 1.2721805620612174 
0.9, 1e-07, -140.0, 0.5333333333333333, 0.38637808147699954, 1.4863590986525477 
0.9, 1e-07, -100.0, 0.4444444444444444, 0.3703809069159417, 1.8830994399783407 
0.9, 1e-07, -60.0, 0.3611111111111111, 0.33954969753669717, 2.4495660536555848 
0.9, 1e-07, -20.0, 0.24444444444444444, 0.3130817469781327, 3.839054673992729 
1.0, 1e-07, -380.0, 0.5333333333333333, 1.2920554651982525, 0.5870403768108912 
1.0, 1e-07, -340.0, 0.6611111111111111, 0.8119665276143262, 0.7048572128288154 
1.0, 1e-07, -300.0, 0.7111111111111111, 0.5934852885666864, 0.8179528380772118 
1.0, 1e-07, -260.0, 0.6888888888888889, 0.5245254868774397, 0.9332437417319457 
1.0, 1e-07, -220.0, 0.6277777777777778, 0.47939078158360254, 1.1119010216146474 
1.0, 1e-07, -180.0, 0.5777777777777777, 0.4380508527769961, 1.2923962025609113 
1.0, 1e-07, -140.0, 0.5, 0.40838417088077095, 1.593422573236973 
1.0, 1e-07, -100.0, 0.4166666666666667, 0.39035687125657087, 2.0134549283753547 
1.0, 1e-07, -60.0, 0.3388888888888889, 0.35727802368330996, 2.6177997102398565 
1.0, 1e-07, -20.0, 0.24444444444444444, 0.32466306930778005, 3.8264604480503026 
1.1, 1e-07, -380.0, 0.5111111111111111, 1.3416937235771256, 0.6194542624941904 
1.1, 1e-07, -340.0, 0.6555555555555556, 0.8192794457996211, 0.7109243331481591 
1.1, 1e-07, -300.0, 0.6333333333333333, 0.6866333745370425, 0.8988135042786853 
1.1, 1e-07, -260.0, 0.6055555555555555, 0.5827103059083456, 1.0767383295679316 
1.1, 1e-07, -220.0, 0.5944444444444444, 0.49822309601143755, 1.1828510508649184 
1.1, 1e-07, -180.0, 0.5277777777777778, 0.47485955339308306, 1.4206644310861822 
1.1, 1e-07, -140.0, 0.4722222222222222, 0.44612482543045245, 1.6748516902278507 
1.1, 1e-07, -100.0, 0.39444444444444443, 0.40470724585650103, 2.1450814920664873 
1.1, 1e-07, -60.0, 0.3277777777777778, 0.3803631099717738, 2.697129445147034 
1.1, 1e-07, -20.0, 0.23333333333333334, 0.35106653777864827, 3.9536784523488615 
1.2, 1e-07, -380.0, 0.5111111111111111, 1.3272382981527124, 0.6346394946942271 
1.2, 1e-07, -340.0, 0.6, 0.9024936765307235, 0.7699047460349928 
1.2, 1e-07, -300.0, 0.6222222222222222, 0.6906247447549371, 0.9232537690647366 
1.2, 1e-07, -260.0, 0.5833333333333334, 0.6132162027781765, 1.0993592056489991 
1.2, 1e-07, -220.0, 0.5611111111111111, 0.5438666309719749, 1.2375855541801508 
1.2, 1e-07, -180.0, 0.5055555555555555, 0.5026059320004886, 1.4768441678832522 
1.2, 1e-07, -140.0, 0.45, 0.46726752731226806, 1.7596808752754662 
1.2, 1e-07, -100.0, 0.3888888888888889, 0.417839835755006, 2.1635858433127937 
1.2, 1e-07, -60.0, 0.3055555555555556, 0.3967079775882489, 2.908777363922826 
1.2, 1e-07, -20.0, 0.23333333333333334, 0.3606062600561598, 3.9442228648399302 
1.3, 1e-07, -380.0, 0.4388888888888889, 1.5450375079812622, 0.7409763798086796 
1.3, 1e-07, -340.0, 0.5277777777777778, 1.0143392998368892, 0.8880840127256362 
1.3, 1e-07, -300.0, 0.5722222222222222, 0.7689363071463983, 0.986134680018142 
1.3, 1e-07, -260.0, 0.5666666666666667, 0.6340829633509256, 1.1291840983775312 
1.3, 1e-07, -220.0, 0.5222222222222223, 0.5874498922464064, 1.3276536859542252 
1.3, 1e-07, -180.0, 0.4722222222222222, 0.5393770450800041, 1.5810721759686228 
1.3, 1e-07, -140.0, 0.4222222222222222, 0.49518220443837274, 1.8841070447240895 
1.3, 1e-07, -100.0, 0.37777777777777777, 0.4400328094423798, 2.22386063012682 
1.3, 1e-07, -60.0, 0.3055555555555556, 0.41242224239631947, 2.8931051518465263 
1.3, 1e-07, -20.0, 0.2222222222222222, 0.39060166861875445, 4.134628728270657 
1.4000000000000001, 1e-07, -380.0, 0.42777777777777776, 1.5552839990388907, 0.7906612976217641 
1.4000000000000001, 1e-07, -340.0, 0.5333333333333333, 0.9886607752471566, 0.8937338711727218 
1.4000000000000001, 1e-07, -300.0, 0.55, 0.7862178731847727, 1.0299841367140419 
1.4000000000000001, 1e-07, -260.0, 0.5444444444444444, 0.6565177736660389, 1.1792918496504583 
1.4000000000000001, 1e-07, -220.0, 0.5, 0.6078301850135166, 1.3931838320351673 
1.4000000000000001, 1e-07, -180.0, 0.45555555555555555, 0.5699062930157136, 1.628886212092336 
1.4000000000000001, 1e-07, -140.0, 0.40555555555555556, 0.513629623332345, 1.9647902569539657 
1.4000000000000001, 1e-07, -100.0, 0.36666666666666664, 0.4724573951158611, 2.27317985069624 
1.4000000000000001, 1e-07, -60.0, 0.29444444444444445, 0.44678110792355624, 2.985663149777299 
1.4000000000000001, 1e-07, -20.0, 0.2111111111111111, 0.4164710439983744, 4.3530993038345285 
1.5, 1e-07, -380.0, 0.43333333333333335, 1.4801721822576779, 0.8326613907549689 
1.5, 1e-07, -340.0, 0.5166666666666667, 0.9950258021182824, 0.937854099999831 
1.5, 1e-07, -300.0, 0.5277777777777778, 0.784960753247823, 1.1086142286709948 
1.5, 1e-07, -260.0, 0.5388888888888889, 0.6726184791020354, 1.1822505259535163 
1.5, 1e-07, -220.0, 0.46111111111111114, 0.6533627752716341, 1.518036086388652 
1.5, 1e-07, -180.0, 0.45555555555555555, 0.5832001666912848, 1.6203500682459766 
1.5, 1e-07, -140.0, 0.39444444444444443, 0.5339523722890104, 2.0153317531598844 
1.5, 1e-07, -100.0, 0.34444444444444444, 0.5038571118280405, 2.4159018095130538 
1.5, 1e-07, -60.0, 0.2777777777777778, 0.46421573253251475, 3.1792662332461528 
1.5, 1e-07, -20.0, 0.2, 0.42525909108571236, 4.6173207416400555 
1.6, 1e-07, -380.0, 0.4222222222222222, 1.5488363287582705, 0.8171369255449655 
1.6, 1e-07, -340.0, 0.5, 1.0317015359507962, 0.966031801016649 
1.6, 1e-07, -300.0, 0.5, 0.8579786732093988, 1.1412463128991661 
1.6, 1e-07, -260.0, 0.48333333333333334, 0.7443838156192928, 1.3255190438612374 
1.6, 1e-07, -220.0, 0.46111111111111114, 0.6507745562960031, 1.52091175475477 
1.6, 1e-07, -180.0, 0.4166666666666667, 0.6054055254261749, 1.8010496716456779 
1.6, 1e-07, -140.0, 0.38333333333333336, 0.5660097305925746, 2.0587516934511396 
1.6, 1e-07, -100.0, 0.3333333333333333, 0.5326091180078713, 2.4858067112242583 
1.6, 1e-07, -60.0, 0.2611111111111111, 0.48277058600309924, 3.4006415462369683 
1.6, 1e-07, -20.0, 0.2, 0.4436050158479924, 4.599478368303063 
0.7000000000000001, 1.5e-07, -380.0, 1.05, 0.2961992572814725, 0.658906699336235 
0.7000000000000001, 1.5e-07, -340.0, 0.9888888888888889, 0.28789090379056387, 0.7265962798591109 
0.7000000000000001, 1.5e-07, -300.0, 0.9222222222222223, 0.2788836041811975, 0.8093906104996923 
0.7000000000000001, 1.5e-07, -260.0, 0.8444444444444444, 0.27113740059033004, 0.918001688006679 
0.7000000000000001, 1.5e-07, -220.0, 0.7555555555555555, 0.2651848975994707, 1.0580648981306215 
0.7000000000000001, 1.5e-07, -180.0, 0.6833333333333333, 0.25645437943036037, 1.215354612197608 
0.7000000000000001, 1.5e-07, -140.0, 0.5666666666666667, 0.2469426451894559, 1.5304460020965045 
0.7000000000000001, 1.5e-07, -100.0, 0.45, 0.23708769469223315, 1.9865680631033196 
0.7000000000000001, 1.5e-07, -60.0, 0.3333333333333333, 0.22757828242177308, 2.7980397770546057 
0.7000000000000001, 1.5e-07, -20.0, 0.15555555555555556, 0.1878445064918484, 6.424718797587922 
0.8, 1.5e-07, -380.0, 0.9833333333333333, 0.31680555201433536, 0.7033098611805682 
0.8, 1.5e-07, -340.0, 0.9166666666666666, 0.3110334425190461, 0.7837232025684973 
0.8, 1.5e-07, -300.0, 0.85, 0.30033962083020815, 0.8808432259728861 
0.8, 1.5e-07, -260.0, 0.7888888888888889, 0.2896194144143122, 0.9834908526665219 
0.8, 1.5e-07, -220.0, 0.7111111111111111, 0.28333577344309435, 1.1304264628190763 
0.8, 1.5e-07, -180.0, 0.6277777777777778, 0.27406517034055927, 1.319844961670617 
0.8, 1.5e-07, -140.0, 0.55, 0.26209617392471585, 1.553030762177476 
0.8, 1.5e-07, -100.0, 0.43333333333333335, 0.2544816534347422, 2.0561810558979565 
0.8, 1.5e-07, -60.0, 0.3277777777777778, 0.24088534622611357, 2.836961970751797 
0.8, 1.5e-07, -20.0, 0.16111111111111112, 0.20469262895599252, 6.1717483067587695 
0.9, 1.5e-07, -380.0, 0.9, 0.34998189770073046, 0.7649692599180065 
0.9, 1.5e-07, -340.0, 0.85, 0.33034746074572907, 0.8506839805996848 
0.9, 1.5e-07, -300.0, 0.7777777777777778, 0.3212555004072026, 0.970110633040731 
0.9, 1.5e-07, -260.0, 0.7333333333333333, 0.3117192384687624, 1.0587419175789132 
0.9, 1.5e-07, -220.0, 0.6666666666666666, 0.30050125174161385, 1.1996204262475352 
0.9, 1.5e-07, -180.0, 0.5833333333333334, 0.2883993646529103, 1.4377521683973564 
0.9, 1.5e-07, -140.0, 0.5, 0.2805788541707142, 1.7182405999627897 
0.9, 1.5e-07, -100.0, 0.40555555555555556, 0.274375617686942, 2.2049109348372733 
0.9, 1.5e-07, -60.0, 0.3111111111111111, 0.25844677778632447, 2.987327156964512 
0.9, 1.5e-07, -20.0, 0.16111111111111112, 0.22322900909036786, 6.153085184248276 
