external,coupling,seed,p1freq,p1mean,p2freq,p2mean,corr,pli
-0.00013928571428571427, 2.8571428571428568e-09, 100, 8.95, 0.6192209519476202, 8.65, 0.6149559626100934, 0.24969942876546225, 0.6399091181337146
-0.00013928571428571427, 4.285714285714285e-09, 100, 8.65, 0.6266534333664165, 8.2, 0.6346784133039668, 0.35025808643938083, 0.7156568311410737
-0.00013928571428571427, 5.7142857142857136e-09, 100, 8.3, 0.6169009577476057, 8.65, 0.6164509588726028, 0.45713066139565295, 0.7590588411115419
-0.00013928571428571427, 7.142857142857142e-09, 100, 0.05, 0.0024174939562651094, 0.05, 0.0023599941000147498, 0.9880075066663497, nan
-0.00013928571428571427, 8.57142857142857e-09, 100, 0.05, 0.0023699940750148123, 0.05, 0.0023149942125144686, 0.9883012702574135, nan
-0.00013928571428571427, 9.999999999999999e-09, 100, 0.05, 0.0023474941312646718, 0.05, 0.002294994262514344, 0.9887286477764571, nan
-0.00010714285714285711, 0.0, 100, 10.15, 0.38223404441488895, 10.05, 0.37519656200859497, -0.00602804270658216, 0.2382147100042707
-0.00010714285714285711, 1.4285714285714284e-09, 100, 10.05, 0.39598901002747494, 10.2, 0.3902215244461889, 0.1452798128174263, 0.3580354342010018
-0.00010714285714285711, 2.8571428571428568e-09, 100, 10.1, 0.39861900345249135, 10.2, 0.3914490213774466, 0.2447730213595912, 0.4292386137586004
-0.00010714285714285711, 4.285714285714285e-09, 100, 9.9, 0.37064407338981653, 10.5, 0.3838615403461491, 0.34611122391857463, 0.5257839932752165
-0.00010714285714285711, 5.7142857142857136e-09, 100, 10.45, 0.3613690965772586, 10.4, 0.36972657568356077, 0.4578828313651516, 0.6526947807218
-0.00010714285714285711, 7.142857142857142e-09, 100, 0.05, 0.0025649935875160313, 0.05, 0.0025099937250156875, 0.9891933829723348, nan
-0.00010714285714285711, 8.57142857142857e-09, 100, 0.05, 0.0023949940125149688, 0.05, 0.0023499941250146876, 0.9905385391619201, nan
-0.00010714285714285711, 9.999999999999999e-09, 100, 0.05, 0.0023599941000147498, 0.05, 0.0023174942062644845, 0.9909337485139872, nan
-7.499999999999997e-05, 0.0, 100, 9.65, 0.2610068474828813, 9.4, 0.25883935290161775, 0.033587705400820546, 0.19743230553713267
-7.499999999999997e-05, 1.4285714285714284e-09, 100, 9.9, 0.26690433273916814, 9.15, 0.26569433576416057, 0.12999971415506703, 0.2704677377316526
-7.499999999999997e-05, 2.8571428571428568e-09, 100, 9.65, 0.27441181397046505, 9.25, 0.26860182849542874, 0.2751679769158828, 0.39061885258032814
-7.499999999999997e-05, 4.285714285714285e-09, 100, 9.55, 0.2671668320829198, 9.35, 0.267519331201672, 0.39112452042794843, 0.5064986590991661
-7.499999999999997e-05, 5.7142857142857136e-09, 100, 9.15, 0.2663718340704148, 9.5, 0.2651668370829073, 0.42886439445298113, 0.5540459378711747
-7.499999999999997e-05, 7.142857142857142e-09, 100, 9.2, 0.2493443766390584, 9.3, 0.25084937287656783, 0.48832557974163227, 0.6325742262490307
-7.499999999999997e-05, 8.57142857142857e-09, 100, 0.05, 0.0024799938000155, 0.05, 0.0024174939562651094, 0.9872878580778449, nan
-7.499999999999997e-05, 9.999999999999999e-09, 100, 0.05, 0.0024099939750150626, 0.05, 0.0023599941000147498, 0.9895473882918702, nan
-4.285714285714283e-05, 0.0, 100, 7.75, 0.1888495278761803, 7.05, 0.17512706218234456, 0.012249802204762175, 0.1786344124159489
-4.285714285714283e-05, 1.4285714285714284e-09, 100, 7.7, 0.19208951977620056, 7.3, 0.18566703583241043, 0.09462847302039203, 0.2207703697064629
-4.285714285714283e-05, 2.8571428571428568e-09, 100, 7.6, 0.19666450833872914, 7.45, 0.1956945107637231, 0.17373149233154067, 0.2785344363090662
-4.285714285714283e-05, 4.285714285714285e-09, 100, 7.8, 0.2029594926012685, 7.7, 0.20035949910125225, 0.25531145008906775, 0.3438138422826709
-4.285714285714283e-05, 5.7142857142857136e-09, 100, 7.95, 0.20390699023252443, 7.7, 0.2016119959700101, 0.310245140640502, 0.400704312899945
-4.285714285714283e-05, 7.142857142857142e-09, 100, 7.9, 0.19712950717623207, 7.7, 0.1959370101574746, 0.410857064576676, 0.49752643996680435
-4.285714285714283e-05, 8.57142857142857e-09, 100, 8.35, 0.2014894962762593, 7.8, 0.1942545143637141, 0.42393511331415995, 0.5330585854068759
-4.285714285714283e-05, 9.999999999999999e-09, 100, 0.45, 0.011179972050069875, 0.4, 0.011202471993820016, 0.6386459381393175, nan
-1.0714285714285665e-05, 0.0, 100, 5.45, 0.11362221594446013, 5.1, 0.10877722805692985, 0.011491251671924425, 0.225499253662987
-1.0714285714285665e-05, 1.4285714285714284e-09, 100, 5.4, 0.11827970430073925, 5.2, 0.1111847220381949, 0.07029746481246192, 0.24447766965374476
-1.0714285714285665e-05, 2.8571428571428568e-09, 100, 5.6, 0.12403968990077525, 5.25, 0.11586221034447414, 0.15619311231604618, 0.29869270410962057
-1.0714285714285665e-05, 4.285714285714285e-09, 100, 5.65, 0.1288321779195552, 5.4, 0.11957220106949733, 0.22111685185335161, 0.3294480782249074
