beta,gamma_freq,gamma_amp,gamma_mean,frequency
5.0000000000000004e-08, 35.714285714285715, 85.71428571428572, 0, 0.2825
5.0000000000000004e-08, 35.714285714285715, 114.28571428571429, 0, 0.2825
5.0000000000000004e-08, 35.714285714285715, 142.85714285714286, 0, 0.3
5.0000000000000004e-08, 35.714285714285715, 171.42857142857144, 0, 0.3125
5.0000000000000004e-08, 35.714285714285715, 200.0, 0, 0.3225
5.0000000000000004e-08, 42.85714285714286, 0.0, 0, 0.26
5.0000000000000004e-08, 42.85714285714286, 28.571428571428573, 0, 0.26
5.0000000000000004e-08, 42.85714285714286, 57.142857142857146, 0, 0.2625
5.0000000000000004e-08, 42.85714285714286, 85.71428571428572, 0, 0.265
5.0000000000000004e-08, 42.85714285714286, 114.28571428571429, 0, 0.2675
5.0000000000000004e-08, 42.85714285714286, 142.85714285714286, 0, 0.2825
5.0000000000000004e-08, 42.85714285714286, 171.42857142857144, 0, 0.29
5.0000000000000004e-08, 42.85714285714286, 200.0, 0, 0.31
5.0000000000000004e-08, 50.0, 0.0, 0, 0.26
5.0000000000000004e-08, 50.0, 28.571428571428573, 0, 0.2625
5.0000000000000004e-08, 50.0, 57.142857142857146, 0, 0.265
5.0000000000000004e-08, 50.0, 85.71428571428572, 0, 0.2725
5.0000000000000004e-08, 50.0, 114.28571428571429, 0, 0.2825
5.0000000000000004e-08, 50.0, 142.85714285714286, 0, 0.295
5.0000000000000004e-08, 50.0, 171.42857142857144, 0, 0.3075
5.0000000000000004e-08, 50.0, 200.0, 0, 0.315
5.0000000000000004e-08, 57.142857142857146, 0.0, 0, 0.26
5.0000000000000004e-08, 57.142857142857146, 28.571428571428573, 0, 0.2625
5.0000000000000004e-08, 57.142857142857146, 57.142857142857146, 0, 0.2625
5.0000000000000004e-08, 57.142857142857146, 85.71428571428572, 0, 0.2725
5.0000000000000004e-08, 57.142857142857146, 114.28571428571429, 0, 0.2775
5.0000000000000004e-08, 57.142857142857146, 142.85714285714286, 0, 0.285
5.0000000000000004e-08, 57.142857142857146, 171.42857142857144, 0, 0.2925
5.0000000000000004e-08, 57.142857142857146, 200.0, 0, 0.3125
5.0000000000000004e-08, 64.28571428571429, 0.0, 0, 0.26
5.0000000000000004e-08, 64.28571428571429, 28.571428571428573, 0, 0.26
5.0000000000000004e-08, 64.28571428571429, 57.142857142857146, 0, 0.2625
5.0000000000000004e-08, 64.28571428571429, 85.71428571428572, 0, 0.2675
5.0000000000000004e-08, 64.28571428571429, 114.28571428571429, 0, 0.275
5.0000000000000004e-08, 64.28571428571429, 142.85714285714286, 0, 0.28
5.0000000000000004e-08, 64.28571428571429, 171.42857142857144, 0, 0.2875
5.0000000000000004e-08, 64.28571428571429, 200.0, 0, 0.3
5.0000000000000004e-08, 71.42857142857143, 0.0, 0, 0.26
5.0000000000000004e-08, 71.42857142857143, 28.571428571428573, 0, 0.2625
5.0000000000000004e-08, 71.42857142857143, 57.142857142857146, 0, 0.265
5.0000000000000004e-08, 71.42857142857143, 85.71428571428572, 0, 0.27
