beta,seed,gamma_freq,gamma_amp,gamma_mean,frequency
5.0000000000000004e-08, 100, 4.168067226890756, 100, 0, 0.3275
5.0000000000000004e-08, 100, 4.235294117647059, 100, 0, 0.3225
5.0000000000000004e-08, 100, 4.302521008403361, 100, 0, 0.33
5.0000000000000004e-08, 100, 4.369747899159663, 100, 0, 0.31
5.0000000000000004e-08, 100, 4.436974789915967, 100, 0, 0.3175
5.0000000000000004e-08, 100, 4.504201680672269, 100, 0, 0.3075
5.0000000000000004e-08, 100, 4.571428571428571, 100, 0, 0.3325
5.0000000000000004e-08, 100, 4.6386554621848735, 100, 0, 0.33
5.0000000000000004e-08, 100, 4.705882352941177, 100, 0, 0.325
5.0000000000000004e-08, 100, 4.773109243697479, 100, 0, 0.3225
5.0000000000000004e-08, 100, 4.840336134453781, 100, 0, 0.325
5.0000000000000004e-08, 100, 4.9075630252100835, 100, 0, 0.3225
5.0000000000000004e-08, 100, 4.974789915966387, 100, 0, 0.3325
5.0000000000000004e-08, 100, 5.042016806722689, 100, 0, 0.32
5.0000000000000004e-08, 100, 5.109243697478991, 100, 0, 0.3225
5.0000000000000004e-08, 100, 5.1764705882352935, 100, 0, 0.32
5.0000000000000004e-08, 100, 5.243697478991597, 100, 0, 0.3175
5.0000000000000004e-08, 100, 5.310924369747899, 100, 0, 0.3375
5.0000000000000004e-08, 100, 5.378151260504201, 100, 0, 0.3175
5.0000000000000004e-08, 100, 5.445378151260504, 100, 0, 0.32
5.0000000000000004e-08, 100, 5.512605042016807, 100, 0, 0.3075
5.0000000000000004e-08, 100, 5.579831932773109, 100, 0, 0.3175
5.0000000000000004e-08, 100, 5.647058823529411, 100, 0, 0.315
5.0000000000000004e-08, 100, 5.714285714285714, 100, 0, 0.3075
5.0000000000000004e-08, 100, 5.781512605042017, 100, 0, 0.325
5.0000000000000004e-08, 100, 5.848739495798319, 100, 0, 0.31
5.0000000000000004e-08, 100, 5.915966386554621, 100, 0, 0.31
5.0000000000000004e-08, 100, 5.983193277310924, 100, 0, 0.3175
5.0000000000000004e-08, 100, 6.050420168067227, 100, 0, 0.3125
5.0000000000000004e-08, 100, 6.117647058823529, 100, 0, 0.32
5.0000000000000004e-08, 100, 6.184873949579831, 100, 0, 0.3125
5.0000000000000004e-08, 100, 6.2521008403361344, 100, 0, 0.31
5.0000000000000004e-08, 100, 6.319327731092437, 100, 0, 0.3075
5.0000000000000004e-08, 100, 6.386554621848739, 100, 0, 0.3075
5.0000000000000004e-08, 100, 6.453781512605042, 100, 0, 0.2975
5.0000000000000004e-08, 100, 6.5210084033613445, 100, 0, 0.3175
5.0000000000000004e-08, 100, 6.588235294117647, 100, 0, 0.3125
5.0000000000000004e-08, 100, 6.655462184873949, 100, 0, 0.3075
5.0000000000000004e-08, 100, 6.722689075630252, 100, 0, 0.3
5.0000000000000004e-08, 100, 6.7899159663865545, 100, 0, 0.2925
5.0000000000000004e-08, 100, 6.857142857142857, 100, 0, 0.285
5.0000000000000004e-08, 100, 6.924369747899159, 100, 0, 0.2975
5.0000000000000004e-08, 100, 6.991596638655462, 100, 0, 0.2725
5.0000000000000004e-08, 100, 7.0588235294117645, 100, 0, 0.3025
5.0000000000000004e-08, 100, 7.126050420168067, 100, 0, 0.295
5.0000000000000004e-08, 100, 7.193277310924369, 100, 0, 0.3
5.0000000000000004e-08, 100, 7.260504201680672, 100, 0, 0.2975
5.0000000000000004e-08, 100, 7.3277310924369745, 100, 0, 0.2875
5.0000000000000004e-08, 100, 7.394957983193277, 100, 0, 0.295
5.0000000000000004e-08, 100, 7.462184873949579, 100, 0, 0.2975
5.0000000000000004e-08, 100, 7.529411764705882, 100, 0, 0.2975
5.0000000000000004e-08, 100, 7.5966386554621845, 100, 0, 0.29
5.0000000000000004e-08, 100, 7.663865546218487, 100, 0, 0.29
5.0000000000000004e-08, 100, 7.73109243697479, 100, 0, 0.2875
5.0000000000000004e-08, 100, 7.798319327731092, 100, 0, 0.3
5.0000000000000004e-08, 100, 7.8655462184873945, 100, 0, 0.3075
5.0000000000000004e-08, 100, 7.932773109243697, 100, 0, 0.29
5.0000000000000004e-08, 100, 8.0, 100, 0, 0.285
5.0000000000000004e-08, 1000, 0.0, 100, 0, 0.235
5.0000000000000004e-08, 1000, 0.06722689075630252, 100, 0, 0.2675
5.0000000000000004e-08, 1000, 0.13445378151260504, 100, 0, 0.2425
5.0000000000000004e-08, 1000, 0.20168067226890757, 100, 0, 0.225
5.0000000000000004e-08, 1000, 0.2689075630252101, 100, 0, 0.2625
5.0000000000000004e-08, 1000, 0.3361344537815126, 100, 0, 0.315
5.0000000000000004e-08, 1000, 0.40336134453781514, 100, 0, 0.34
5.0000000000000004e-08, 1000, 0.47058823529411764, 100, 0, 0.3575
5.0000000000000004e-08, 1000, 0.5378151260504201, 100, 0, 0.3525
5.0000000000000004e-08, 1000, 0.6050420168067226, 100, 0, 0.3675
5.0000000000000004e-08, 1000, 0.6722689075630252, 100, 0, 0.3675
5.0000000000000004e-08, 1000, 0.7394957983193277, 100, 0, 0.38
5.0000000000000004e-08, 1000, 0.8067226890756303, 100, 0, 0.38
5.0000000000000004e-08, 1000, 0.8739495798319328, 100, 0, 0.38
